code,description
EUAC,AIR CONDITIONING
EUAL,ALTERNATING CURRENT
EUATC,ATC RC&S EQUIPMENT
EUBK,BRAKES
EUBO,BODY
EUCA,COMPRESSED AIR
EUCC,CAM CONTROL
EUCD,RC&S CONSEQUENTIAL DELAY (SECOND DELAY SAME FAULT -- NO INTERVENTION)
EUCH,CHOPPER CONTROL
EUCO,COUPLERS
EUDO,DOOR PROBLEMS RE:FAULTY EQUIPMENT
EUECD,ECD/LINE MECHANIC RELATED
EUHV,HIGH VOLTAGE
EULT,LIGHTING SYSTEMS
EULV,LOW VOLTAGE
EUME,RC&S MAINTENANCE ERROR (HUMAN ERROR - NO EQUIP.FAULT)
EUNEA,NO EQUIPMENT AVAILABLE
EUNT,EQUIPMENT -- NO TROUBLE FOUND
EUO,RC&S OTHER
EUOE,"RC&S OPERATOR ERROR (SIGNAL VIOLATION, PLATFORM OVERSHOOT, ETC)"
EUOPO,OPTO (RC&S) NON-TRAIN DOOR MONITORING
EUPI,T-1 PROPULSION SYSTEM
EUSC,SPEED CONTROL EQUIPMENT
EUTL,TRAINLINE SYSTEM
EUTM,TRACTION MOTORS
EUTR,TRUCKS
EUTRD,TORONTO ROCKET CAB DOORS
EUVA,WARNING/ALARM SYSTEM/PASSENGER SECURITY SYSTEM
EUVE,WORK VEHICLE
EUYRD,YARD/CARHOUSE RELATED PROBLEMS
MUATC,ATC PROJECT
MUCL,DIVISIONAL CLERK RELATED
MUCP,CLOSURES - PLANNED
MUCSA,NO COLLECTOR AVAILABLE- E.S.A. RELATED
MUCU,CLOSURES - UNPLANNED
MUD,DOOR PROBLEMS -- PASSENGER RELATED
MUDD,DOOR PROBLEMS -- DEBRIS RELATED
MUEC,ENGINEEERING & CONSTRUCTION RELATED
MUESA,NO OPERATOR/CREW AVAILABLE -- E.S.A. RELATED
MUFM,"-""FORCE MAJEURE-"" -- DELAY OVER 90 MIN. RE: WEATHER OR MAJOR EVENT"
MUFS,FIRE/SMOKE PLAN B -- SOURCE EXTERNAL TO TTC
MUGD,MISCELLANEOUS GENERAL SUBWAY LINE DELAYS -
MUI,INJURED/ILL CUSTOMER ON TRAIN -- TRANSPORTED
MUIE,INJURED EMPLOYEES
MUIR,INJURED/ILL CUSTOMER ON TRAIN -- MEDICAL AID REFUSED
MUIRS,INJURED/ILL CUSTOMER IN STATION -- MEDICAL AID REFUSED
MUIS,INJURED/ILL CUSTOMER IN STATION - TRANSPORTED
MULD,LABOUR DISPUTE RELATED -- SUBWAY
MUNCA,NO COLLECTOR AVAILABLE -- NON ESA RELATED
MUNOA,NO OPERATOR AVAILABLE -- NON ESA RELATED
MUO,MISCELLANEOUS OTHER
MUODC,OVERHEAD DOOR CONTACTED
MUPAA,PAA -- NO TROUBLE FOUND
MUPF,EXTERNAL POWER FAILURE
MUPLA,FIRE/SMOKE PLAN A
MUPLB,FIRE/SMOKE PLAN B -- SOURCE TTC (TRACK LEVEL)
MUPLC,FIRE SMOKE PLAN C
MUPR1,PRIORITY ONE -- TRAIN IN CONTACT WITH PERSON
MUSAN,UNSANITARY VEHICLE
MUSC,SI SPEED CONTROL
MUTD,TRAINING DEPT. RELATED DELAYS
MUTO,MISCELLANEOUS TRANSPORTATION OTHER (EMPLOYEE NON-CHARGEABLE)
MUWEA,WEATHER REPORTS / RELATED PROBLEMS
MUWR,WORK REFUSAL
PUATC,ATC SIGNALS OTHER
PUCBI,CENTRAL LOGIC CONTROLLER FAILURE
PUCSC,SIGNAL CONTROL
PUCSS,CENTRAL OFFICE SIGNALLING SYSTEM (CSS)
PUDCS,DATA COMMUNICATIONS SYSTEM FAILURE
PUEME,ELECTRICAL -- MAINTENANCE ERROR
PUEO,ELECTRICAL -- OTHER
PUEWZ,ELECTRICAL -- WORK ZONE PROBLEMS
PUMEL,ANY ESCL. OR ELEV. INCIDENT -- TRANSPORTED OR MEDICAL AID DECLINED
PUMO,PLANT MAINTENANCE -- OTHER
PUMST,ANY STAIRWAY INCIDENT -- TRANSPORTED OR MEDICAL AID DECLINED
PUOPO,OPTO (COMMUNICATIONS) TRAIN DOOR MONITORING
PUSAC,SIGNALS AXLE COUNTER BLOCK FAILURE
PUSBE,BEACON FAILURE
PUSCA,SCADA RELATED PROBLEMS
PUSCR,SUBWAY CAR RADIO FAULT
PUSEA,EMERGENCY ALARM STATIONS
PUSI,SIGNAL OR RELATED COMPONENTS FAILURE
PUSIO,SMART IO FAILURE
PUSIS,SIGNALS TRACK WEATHER RELATED ISSUES
PUSLC,SIGNALS LINE CONTROLLER FAILURE
PUSNT,SIGNAL PROBLEM -- NO TROUBLE FOUND
PUSO,SIGNALS -- OTHER
PUSRA,SUBWAY RADIO SYSTEM PROBLEMS
PUSSW,TRACK SWITCH FAILURE -- S/E/C RELATED PROBLEM
PUSTC,SIGNALS - TRACK CIRCUIT PROBLEMS
PUSTP,TRACTION POWER OR RELATED COMPONENTS FAILURE
PUSTS,SIGNALS -- TRAIN STOPS
PUSWZ,WORK ZONE PROBLEMS -- SIGNALS
PUSZC,SIGNALS ZONE CONTROLLER FAILURE
PUT0,T&S OTHER
PUTCD,T&S CONTRACTOR PROBLEMS
PUTD,DEBRIS AT TRACK LEVEL - CONTROLLABLE
PUTDN,DEBRIS AT TRACK LEVEL -- NON-CONTROLLABLE
